No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
65,CTXS,-4.08%,-15.27%,-15.29%,2.26%,-20.33%,-10.28%,2.22%,2.46%,2.30,1.22M,0.39,117.85,0.97%,"152,527"
66,ENPH,-6.01%,-24.55%,-42.43%,4.77%,99.43%,-34.68%,6.86%,6.28%,2.20,3.62M,0.79,117.88,2.85%,"909,025"
67,EXPD,2.47%,8.50%,23.63%,34.23%,61.66%,24.59%,2.60%,2.00%,3.20,1.10M,0.46,119.15,0.55%,"162,986"
68,NTRS,0.22%,8.15%,22.75%,29.62%,69.48%,27.83%,3.24%,2.59%,2.90,997.29K,0.55,119.55,0.41%,"175,237"
69,CINF,0.27%,13.25%,31.38%,38.55%,147.30%,37.39%,2.58%,2.24%,2.80,846.58K,0.41,120.43,0.32%,"109,279"
70,TER,-6.91%,-8.47%,-13.18%,19.45%,96.28%,-2.21%,3.78%,3.56%,2.20,1.98M,0.42,120.47,2.76%,"266,637"
71,CDNS,-3.81%,-15.59%,-15.21%,8.61%,50.70%,-10.53%,3.41%,2.70%,2.30,1.98M,0.56,123.07,0.82%,"354,265"
72,CPRT,-1.67%,1.28%,3.90%,2.99%,51.16%,-5.31%,2.29%,1.84%,1.70,1.14M,0.41,123.09,2.16%,"148,774"
73,AMAT,-8.97%,-10.60%,6.12%,72.82%,132.90%,38.96%,4.47%,3.36%,1.90,10.51M,1.32,123.26,2.79%,"4,414,772"
74,WYNN,-0.29%,-5.14%,6.84%,26.65%,59.46%,8.50%,3.83%,3.42%,2.30,2.45M,0.86,125.20,2.27%,"673,545"
75,AAPL,-3.68%,-5.35%,-7.52%,7.76%,62.48%,-5.82%,1.97%,1.95%,2.00,104.45M,0.93,126.60,1.31%,"31,004,730"
76,PTC,-3.62%,-14.44%,-12.71%,33.05%,98.12%,4.83%,3.09%,2.98%,1.90,1.11M,0.76,128.43,2.43%,"267,899"
77,ROST,-2.57%,-0.89%,3.17%,14.92%,50.19%,2.39%,3.20%,2.24%,1.90,2.07M,0.59,129.79,3.22%,"386,147"
78,QCOM,-6.54%,-5.67%,-12.68%,-9.28%,62.96%,-16.56%,3.15%,2.51%,2.00,10.72M,0.79,130.06,2.32%,"2,699,386"
79,EA,-1.56%,-1.75%,-5.57%,16.98%,19.02%,-3.11%,2.36%,2.11%,2.10,2.41M,0.68,138.69,-0.32%,"517,898"
80,GRMN,-2.30%,0.35%,6.69%,20.94%,76.65%,15.40%,2.27%,1.64%,2.20,718.70K,0.41,139.97,1.36%,"94,269"
81,TMUS,-0.55%,6.33%,11.03%,13.47%,48.87%,2.42%,2.01%,1.97%,1.90,4.70M,0.74,140.27,1.56%,"1,107,117"
82,MAR,-2.33%,-6.90%,9.96%,17.55%,85.05%,5.57%,3.25%,2.64%,2.50,2.60M,0.75,141.96,1.93%,"619,345"
83,MCHP,-3.00%,-9.08%,-9.84%,16.57%,69.29%,2.90%,3.72%,3.09%,2.00,2.09M,0.81,144.44,1.63%,"539,748"
84,PEP,0.56%,3.00%,8.45%,3.28%,10.09%,-1.30%,1.57%,1.43%,2.30,5.94M,0.78,146.93,0.38%,"1,470,230"
85,ADI,-5.66%,-7.47%,-7.66%,8.79%,41.26%,-0.74%,2.69%,2.28%,1.80,3.29M,1.47,149.14,1.71%,"1,535,418"
86,JKHY,-0.31%,2.71%,6.28%,-1.58%,-14.64%,-2.48%,2.48%,2.21%,2.60,592.90K,0.30,158.13,0.09%,"56,485"
87,ETSY,-0.69%,-28.19%,-30.73%,31.11%,92.02%,-11.98%,6.27%,5.18%,1.90,3.53M,0.71,161.54,3.16%,"794,556"
88,NDAQ,-1.64%,2.20%,13.02%,26.56%,47.76%,21.21%,1.79%,1.77%,2.30,820.21K,0.69,163.57,1.66%,"180,923"
89,TTWO,-3.50%,-10.31%,-17.44%,5.07%,23.87%,-21.68%,2.26%,2.15%,2.20,1.22M,0.64,164.99,1.38%,"249,063"
90,SWKS,-7.81%,-13.66%,-14.08%,18.18%,52.79%,6.09%,3.23%,3.01%,2.30,2.23M,0.65,165.17,1.84%,"464,007"
91,CDW,-2.36%,-5.39%,7.41%,22.54%,71.95%,27.88%,2.44%,2.04%,2.00,828.41K,0.84,168.50,-0.02%,"221,771"
92,QRVO,-9.66%,-12.11%,-4.47%,18.39%,71.43%,0.35%,4.53%,3.54%,2.20,1.25M,1.03,170.27,2.05%,"408,358"
93,EXPE,1.76%,-2.33%,11.88%,36.64%,170.47%,26.68%,4.32%,3.38%,2.30,3.11M,0.73,170.66,1.75%,"722,428"
94,ALXN,2.04%,11.62%,12.12%,36.38%,69.18%,10.94%,0.95%,0.96%,2.90,2.42M,0.50,174.04,0.41%,"382,652"
95,VRSK,-0.82%,-4.60%,-8.30%,-11.03%,12.40%,-16.38%,2.22%,1.83%,2.20,1.23M,0.27,175.91,1.34%,"107,044"
96,JBHT,0.62%,4.03%,19.46%,36.75%,79.64%,28.79%,2.40%,2.34%,2.20,606.28K,0.29,177.29,0.74%,"55,980"
97,FFIV,-1.52%,-14.33%,-13.07%,13.56%,30.86%,1.92%,2.46%,2.22%,2.40,690.47K,0.21,181.05,0.96%,"46,035"
98,TXN,-2.87%,-5.96%,-0.13%,18.15%,64.11%,9.05%,2.40%,2.11%,2.40,4.89M,0.54,182.03,1.70%,"840,399"
99,TSCO,-4.28%,4.88%,18.57%,43.68%,75.15%,32.69%,2.90%,2.53%,2.30,1.19M,0.56,187.08,0.29%,"210,727"
100,TROW,0.20%,7.94%,15.69%,37.92%,74.92%,24.72%,2.26%,2.06%,3.00,1.15M,0.48,191.01,1.17%,"175,621"
101,NXPI,-3.16%,-6.73%,-3.90%,32.94%,100.41%,17.25%,3.84%,3.15%,2.20,4.17M,0.56,191.64,2.79%,"748,164"
102,IPGP,-3.62%,-14.42%,-23.84%,-7.91%,30.98%,-15.01%,4.01%,3.84%,2.20,336.04K,0.44,193.88,1.94%,"46,756"
